Issue ID,Source,DC / Site,Date Reported,Issue Type,Severity,System / Module,Description,Status,Owner,Date Resolved,Root Cause,Resolution,Linked Ticket,Notes
RRE-43373,Jira,Cell005,2026-05-01,Code Defect,P1-Critical,Receiving,PREALERT — Atlas Receiving — High CPU Usage Cell005,Backlog,,,,,,"Production alert — high CPU in receiving cell"
IUF-37005,Jira,PDC7088 CA,2026-05-03,Code Defect,P1-Critical,Picking,PDC7088 CA PROD — Vocollect Order Filling Down,Backlog,,,,,,DC order filling completely down
STRSQLSDO-81753,Jira,Multiple,2026-05-02,Code Defect,P1-Critical,Automation / Intelligrated,Intelligrated ASAP DB Server — SQLSYS at 99.99% capacity,Ready for Review,,,,,,Critical DB capacity risk — production
IUF-36952,Jira,PDC7018,2026-04-29,Code Defect,P1-Critical,Receiving,PDC7018 PROD — Atlas and SIW Sync Issue,Backlog,,,,,,Production inventory sync broken
GLSMAV-87123,Jira,DC 3930,2026-05-04,Code Defect,P1-Critical,Shipping,DC 3930 — Shore not able to process gate-out,Backlog,,,,,,DC operations blocked on outbound
NMS-11957,Jira,Auto GDC 8348,2026-05-05,Code Defect,P2-High,Automation / Intelligrated,Auto Endgame Inbound — CPU spike to 100% at regular intervals,Backlog,,,,,,Stability risk — recurring prod issue
BLACKBIRD-2304,Jira,Multiple,2026-04-28,Code Defect,P2-High,Automation / Symbotic,HUB fails to create Dispatch Work Order after CINE event — 500 error,Backlog,,,,,,WES/WCS outbound failure blocking Symbotic flow
GLSMAV-87125,Jira,Multiple,2026-05-05,Code Defect,P2-High,Shipping,SHORE ASN Generation Failure even though Trailer Departed from Sortation,Backlog,,,,,,Outbound ASN broken — affects invoicing
SUPPCHIN-87988,Jira,Multiple,2026-04-30,Data Issue,P2-High,Inventory,Data Quality: Stale Laminar FC Atlas Inventory,Blocked,,,,,,Inventory data integrity issue
IUF-36994,Jira,CL 6003,2026-04-27,Code Defect,P2-High,Receiving,After receiving — container creation not happening,Backlog,,,,,,Receiving flow broken at DC 6003
